run_utc	mention_id	doc_id	entity_id	entity_type	canonical_name	mention_text	normalized_mention_text	context_type	context_snippet	mention_count	confidence	source_span_id	source_url
20260218T010720Z	mention-13a4818cb202dba2	doc-ap-wasserman-agency-sale-2026-02-14	entity-26fdf29c448e0da9	person	Casey Wasserman	Casey Wasserman	casey wasserman	email_body	AP says LA28 chair Casey Wasserman is selling his agency after Maxwell email disclosure.	2	0.90		https://apnews.com/article/jeffrey-epstein-casey-wasserman-ghislaine-maxwell-olympics-02bc53aa1b6fa6fecac47e3a31a29ef1
20260218T010720Z	mention-8a1c0d5ef9f26a20	doc-courtlistener-024c3511ac6a	entity-23105438c998fc4a	person	Ghislaine Maxwell	Ghislaine Maxwell	ghislaine maxwell	legal_filing	Brown v. Maxwell Dershowitz v. Giuffre 18-2868 16-3945-cv(L) jeffrey_epstein,ghislaine_maxwell courtlistener:Ghislaine Maxwell	3	0.92		https://www.courtlistener.com/opinion/4636326/brown-v-maxwell-dershowitz-v-giuffre/
20260218T010720Z	mention-e6c46612d5815bc3	doc-courtlistener-0baf3159397f	entity-23105438c998fc4a	person	Ghislaine Maxwell	Ghislaine Maxwell	ghislaine maxwell	legal_filing	Giuffre v. Maxwell 15 Civ. 7433 jeffrey_epstein,ghislaine_maxwell courtlistener:Ghislaine Maxwell	3	0.92		https://www.courtlistener.com/opinion/7322971/giuffre-v-maxwell/
20260218T010720Z	mention-d52a86d10c93252c	doc-courtlistener-176880d5475c	entity-23105438c998fc4a	person	Ghislaine Maxwell	Ghislaine Maxwell	ghislaine maxwell	legal_filing	United States v. Maxwell 22-1426 jeffrey_epstein,ghislaine_maxwell courtlistener:Ghislaine Maxwell	3	0.92		https://www.courtlistener.com/opinion/10119519/united-states-v-maxwell/
20260218T010720Z	mention-be0a974ac57a8b95	doc-courtlistener-26b97f011ccc	entity-23105438c998fc4a	person	Ghislaine Maxwell	Ghislaine Maxwell	ghislaine maxwell	legal_filing	Giuffre v. Maxwell 15 Civ. 7433 jeffrey_epstein,ghislaine_maxwell courtlistener:Ghislaine Maxwell	3	0.92		https://www.courtlistener.com/opinion/7331533/giuffre-v-maxwell/
20260218T010720Z	mention-768bcdbb9d8602f6	doc-courtlistener-3374601313ac	entity-23105438c998fc4a	person	Ghislaine Maxwell	Ghislaine Maxwell	ghislaine maxwell	legal_filing	Brown v. Maxwell Dershowitz v. Giuffre 18-2868 16-3945-cv(L) jeffrey_epstein,ghislaine_maxwell courtlistener:Ghislaine Maxwell	3	0.92		https://www.courtlistener.com/opinion/4636340/brown-v-maxwell-dershowitz-v-giuffre/
20260218T010720Z	mention-464277cd1903b67d	doc-courtlistener-91fb18783934	entity-23105438c998fc4a	person	Ghislaine Maxwell	Ghislaine Maxwell	ghislaine maxwell	legal_filing	Giuffre v. Maxwell 15 Civ. 7433 (RWS) jeffrey_epstein,ghislaine_maxwell courtlistener:Ghislaine Maxwell	3	0.92		https://www.courtlistener.com/opinion/7318626/giuffre-v-maxwell/
20260218T010720Z	mention-520b8ca8d4c3b690	doc-courtlistener-a162b75715cf	entity-17edfc05a9d55882	person	Jeffrey Epstein	Jeffrey Epstein	jeffrey epstein	legal_filing	Giuffre v. Maxwell 24-182 jeffrey_epstein,ghislaine_maxwell courtlistener:Jeffrey Epstein	2	0.92		https://www.courtlistener.com/opinion/10639374/giuffre-v-maxwell/
20260218T010720Z	mention-483e2d5d5305b4e0	doc-doj-opa-35m-pages	entity-fd0bdbd930fee3f7	organization	DOJ OPA	DOJ OPA	doj opa	legal_filing	Department of Justice publishes 3.5 million responsive pages in compliance with Epstein files law DOJ OPA doj,epstein_files justice_opa	4	0.92		https://www.justice.gov/opa/pr/department-justice-publishes-35-million-responsive-pages-compliance-epstein-files
20260218T010720Z	mention-da7a057570af0381	doc-doj-opa-first-phase	entity-fd0bdbd930fee3f7	organization	DOJ OPA	DOJ OPA	doj opa	legal_filing	Attorney General Pamela Bondi releases first phase of declassified Epstein files DOJ OPA doj,epstein_files justice_opa	2	0.92		https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files
20260218T010720Z	mention-ffc4eff59d296596	doc-govinfo-transcript-06ad6deaa89c	entity-17edfc05a9d55882	person	Jeffrey Epstein	Jeffrey Epstein	jeffrey epstein	legal_filing	"Jeffrey Epstein (Executive Calendar) 171 Cong. Rec. S609  - Jeffrey Epstein (Executive Calendar) jeffrey_epstein,ghislaine_maxwell,congressional_transcript govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"	6	0.92		https://www.govinfo.gov/content/pkg/CREC-2025-02-05/html/CREC-2025-02-05-pt1-PgS609.htm
20260218T010720Z	mention-6d574c1cf42fdfe8	doc-govinfo-transcript-07e152ded8cc	entity-17edfc05a9d55882	person	Jeffrey Epstein	Jeffrey Epstein	jeffrey epstein	legal_filing	"Text of Senate Amendment 3771 171 Cong. Rec. S6334  - Text of Senate Amendment 3771 jeffrey_epstein,ghislaine_maxwell,congressional_transcript govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"	2	0.92		https://www.govinfo.gov/content/pkg/CREC-2025-09-04/html/CREC-2025-09-04-pt1-PgS6334-3.htm
20260218T010720Z	mention-b75c25ea534ec7e2	doc-govinfo-transcript-14f372471989	entity-17edfc05a9d55882	person	Jeffrey Epstein	Jeffrey Epstein	jeffrey epstein	legal_filing	SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE PEOPLE OF THE UNITED STATES BY UNSEALING MATERIALS CONCERNING MR. JEFFREY EPSTEIN 171 Cong. Rec. S4703  - SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE... jeffrey_epstein,ghisl	4	0.92		https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4703.htm
