claim_id	claim_text	claim_type	asserted_by	first_seen_date	status	confidence	name_context_class	notes
claim-bondi-hearing-date	Pam Bondi testified before the House Judiciary Committee on February 11, 2026.	timeline	House Judiciary Committee	2026-02-11	verified_primary	0.99	administrative_mention	Verified by committee hearing page and coverage records.
claim-hr4405-enacted	The Epstein Files Transparency Act (H.R. 4405) was enacted on November 19, 2025.	legal	GovTrack/GovInfo	2025-11-19	verified_primary	0.99	administrative_mention	Confirmed by GovTrack status + Public Law link.
claim-doj-35m-pages	DOJ announced publication of 3.5 million responsive pages related to Epstein files on January 30, 2026.	procedural	DOJ OPA	2026-01-30	verified_primary	0.97	administrative_mention	Based on DOJ OPA release statement.
claim-wasserman-agency-sale	AP reported Casey Wasserman planned to sell his talent agency after publication of emails involving Ghislaine Maxwell.	procedural	AP	2026-02-14	alleged	0.92	media_reference	Secondary-source report only; closed from pending_review on 2026-02-19 while awaiting tier-1 corroboration.
claim-doj-redactions-letter-reuters	Reuters reported DOJ sent lawmakers a Feb. 15, 2026 letter describing redaction rationale and stating four newly discussed individuals were not directly tied to wrongdoing in reviewed records.	procedural	Reuters	2026-02-15	alleged	0.90	administrative_mention	Secondary-source summary only; closed from pending_review on 2026-02-19 while awaiting a primary DOJ letter artifact in-repo.
claim-epstein-nobel-outreach-ap	AP reported file excerpts described Epstein referencing Nobel committee leadership in outreach messages to high-profile contacts.	factual	AP	2026-02-14	alleged	0.90	media_reference	Secondary-source summary only; closed from pending_review on 2026-02-19 while awaiting primary record chain in-repo.
claim-lifetouch-school-cancellations	AP reported some U.S. school districts paused or canceled Lifetouch sessions after viral posts made Epstein-related allegations.	timeline	AP	2026-02-14	alleged	0.88	media_reference	Secondary-source report only; closed from pending_review on 2026-02-19 while awaiting district-level primary records.
claim-lutnick-meetings-acknowledged-ap	AP reported Howard Lutnick acknowledged pre-government meetings with Epstein and that prior denials were inaccurate.	factual	AP	2026-02-11	alleged	0.90	media_reference	Secondary-source report only; closed from pending_review on 2026-02-19 while awaiting tier-1 corroboration in-repo.
claim-doj-letter-300plus-no-context	Reuters and CNN reported DOJ sent lawmakers a summary covering over 300 officials and politically exposed persons in Epstein-related records, while stating inclusion in that summary does not itself establish wrongdoing.	procedural	DOJ (reported by Reuters/CNN)	2026-02-15	alleged	0.89	administrative_mention	Secondary-source summaries only; closed from pending_review on 2026-02-19 while awaiting a primary DOJ letter artifact in-repo.
claim-oversight-bondi-subpoena-20260317	The House Oversight Committee issued a subpoena to Attorney General Pam Bondi on March 17, 2026 for an April 14, 2026 deposition in its Epstein investigation.	procedural	House Oversight Committee	2026-03-17	verified_primary	0.97	administrative_mention	Verified by the committee's subpoena cover letter.
claim-bondi-removed-ag-20260402	President Trump removed Pam Bondi as U.S. Attorney General on April 2, 2026, and Deputy Attorney General Todd Blanche became acting attorney general.	timeline	CBS News / Axios	2026-04-02	alleged	0.95	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-bondi-transcribed-interview-20260529	Former Attorney General Pam Bondi sat for a closed-door transcribed interview with the House Oversight Committee on May 29, 2026 instead of a subpoenaed deposition.	procedural	House Oversight Committee	2026-05-29	verified_primary	0.93	administrative_mention	Committee release covering Noel and Bondi transcripts; NPR corroborates arrangement.
