change_type	doc_id	source_system	document_type	doc_date	status	url	detail
added	doc-govinfo-transcript-32517ca53042	govinfo_wssearch	congressional_record_transcript	2025-07-30	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4921-5.htm	Text of Senate Amendment 3140
added	doc-govinfo-transcript-5f5797d2fdf5	govinfo_wssearch	congressional_record_transcript	2025-07-29	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-29/html/CREC-2025-07-29-pt1-PgS4789.htm	Nomination of Emil J. Bove III (Executive Session)
added	doc-govinfo-transcript-69c3f9d9ce3c	govinfo_wssearch	congressional_record_transcript	2025-09-02	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgD857.htm	Daily Digest/House Committee Meetings
added	doc-govinfo-transcript-715e3f2e3283	govinfo_wssearch	congressional_record_transcript	2024-01-09	published	https://www.govinfo.gov/content/pkg/CREC-2024-01-09/html/CREC-2024-01-09-pt1-PgS35-3.htm	Sex Trafficking (Executive Calendar)
added	doc-govinfo-transcript-c771c1d91c83	govinfo_wssearch	congressional_record_transcript	2025-09-02	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgH3756.htm	PUBLIC BILLS AND RESOLUTIONS
added	doc-govinfo-transcript-c9be0e03d017	govinfo_wssearch	congressional_record_transcript	2025-07-17	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
added	doc-govinfo-transcript-d2204fbbbd6e	govinfo_wssearch	congressional_record_transcript	2026-02-12	published	https://www.govinfo.gov/content/pkg/CREC-2026-02-12/html/CREC-2026-02-12-pt1-PgS610.htm	SUBMISSION OF CONCURRENT AND SENATE RESOLUTIONS
removed	doc-govinfo-transcript-3d4ac810913a	govinfo_wssearch	congressional_record_transcript	2025-09-03	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3771.htm	PROVIDING FOR CONSIDERATION OF H.R. 4553, ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES APPROPRIATIONS ACT, 2026; PROVIDING FOR CONSIDERATION OF H.J. RES. 104, PROVIDING FOR CONGRESSIONAL...
removed	doc-govinfo-transcript-4dc4d5bd2bda	govinfo_wssearch	congressional_record_transcript	2025-11-20	published	https://www.govinfo.gov/content/pkg/CREC-2025-11-20/html/CREC-2025-11-20-pt1-PgH4829-3.htm	IRREFUTABLE EVIDENCE
removed	doc-govinfo-transcript-db958ed50987	govinfo_wssearch	congressional_record_transcript	2025-09-03	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3780.htm	COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM EPSTEIN INVESTIGATION
removed	doc-recap-0896edea1a77	courtlistener_recap	pacer_recap_document	2026-01-29	unavailable	https://www.courtlistener.com/docket/72116553/16/castro-v-omta-tech-inc/	Castro v. Omta Tech Inc. - Notice of Appearance
