change_type	claim_id	previous_status	new_status	previous_confidence	new_confidence	claim_text
added	claim-brazil-mpf-epstein-inquiry-20260210		alleged		0.85	Brazil's Federal Public Prosecutor's Office opened a confidential procedure on February 10, 2026 to examine whether Brazilian women were recruited for Jeffrey Epstein; no public result had been reported as of September 24, 2026.
added	claim-harvard-affiliates-open-letter-20260723		alleged		0.88	On July 23, 2026, 156 Harvard affiliates published an open letter calling for an independent investigation of Harvard's Epstein ties and consequences for people who legitimized Epstein after his 2008 conviction.
added	claim-harvard-hms-donor-rating-20260501		alleged		0.85	The Harvard Crimson reported on May 1, 2026 that Harvard Medical School gave Epstein a $75 million active donor rating in July 2012 and that Harvard mailed him personalized endowment updates from 2009 through 2018, items not discussed in Harvard's 2020 review.
added	claim-mcsweeney-resigns-20260208		alleged		0.9	Morgan McSweeney resigned as UK Prime Minister Keir Starmer's chief of staff on February 8, 2026, taking responsibility for advising the appointment of Peter Mandelson as ambassador to the United States.
added	claim-melania-sanctions-motion-20260721		alleged		0.88	On July 21, 2026 Melania Trump moved for sanctions against author Michael Wolff after Judge Mary Kay Vyskocil dismissed his preemptive anti-SLAPP suit; the judge had cautioned against the motion on July 1, and no ruling had been reported as of September 24, 2026.
added	claim-reading-room-nyc-20260508		alleged		0.88	The Institute for Primary Facts opened a reading room in New York displaying all 3,437 bound volumes of the released Epstein files from May 8 to May 21, 2026, and began a national tour in Dallas in September.
changed	claim-regime-change-sitroom-202606	alleged	alleged	0.78	0.78	The book Regime Change by Maggie Haberman and Jonathan Swan reported that White House aides held Situation Room meetings in July 2025 on managing the Epstein files and that Vice President Vance proposed a Tucker Carlson interview of Ghislaine Maxwell.
added	claim-s5005-efta2-senate-20260715		verified_primary		0.95	S. 5005, the Senate version of the Epstein Files Transparency Act II, was introduced on July 15, 2026 by Sen. Jeff Merkley for himself and Sen. Ben Ray Lujan and referred to the Senate Judiciary Committee.
added	claim-survivors-sotu-guests-20260224		alleged		0.9	Epstein survivors and relatives attended President Trump's February 24, 2026 State of the Union address as guests of Democratic members of Congress.
added	claim-wexner-osu-board-chair-20260901		alleged		0.88	At a September 1, 2026 meeting, his first since May 2025, Les Wexner said he would step down as chair of the Ohio State University Wexner Medical Center board while remaining a member; Ohio State had received more than 500 requests to remove his name from campus buildings.
