run_utc	claim_id	claim_status	claim_type	name_context_class	asserted_by	first_seen_date	confidence	claim_text	related_source_urls	gap_reason
20260924T223228Z	claim-andrew-arrested-20260219	alleged	timeline	administrative_mention	NPR / CBS	2026-02-19	0.95	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.	https://www.cbsnews.com/news/former-prince-andrew-arrested-epstein-files-suspected-misconduct-public-office/, https://www.npr.org/2026/02/19/nx-s1-5719098/former-prince-andrew-arrested-on-suspicion-of-misconduct-in-public-office-reports	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-bin-sulayem-mmc-202607	alleged	timeline	media_reference	Reuters / Business Today Malaysia	2026-07-20	0.84	Former DP World chief Sultan Ahmed bin Sulayem became executive chairman of Malaysia's MMC Port Holdings in July 2026, prompting 31 civil-society groups to urge that the appointment be revoked.	https://www.businesstoday.com.my/2026/07/22/mmc-port-chairman-appointment-faces-scrutiny-over-alleged-epstein-ties/, https://www.thedailystar.net/news/world/news/former-dp-world-boss-bin-sulayem-takes-charge-malaysia-mmc-port-memo-shows-reuters-4224766	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-blanche-confirmed-ag-20260808	alleged	timeline	administrative_mention	NPR / Washington Post	2026-08-08	0.95	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.	https://www.npr.org/2026/08/08/g-s1-137631/senate-confirms-todd-blanche-attorney-general, https://www.washingtonpost.com/national-security/2026/08/08/senate-narrowly-approves-todd-blanche-ag-capping-tough-confirmation-fight/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-bloomberg-flight-bookings-20260724	alleged	factual	media_reference	Bloomberg	2026-07-24	0.83	A Bloomberg analysis published July 24, 2026 found Epstein's staff booked more than 3,700 commercial flights between 2009 and 2019, with no identifiable passenger in more than 1,700 records.	https://www.bloomberg.com/graphics/2026-jeffrey-epstein-trafficking/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-bofa-settlement-final-approval-20260827	alleged	legal	administrative_mention	Reuters / ABC	2026-08-27	0.93	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.	https://abcnews.com/US/judge-final-approval-bank-americas-72-million-settlement/story?id=136002279, https://www.usnews.com/news/top-news/articles/2026-08-27/court-approves-bank-of-americas-72-5-million-settlement-with-epstein-accusers	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-bondi-removed-ag-20260402	alleged	timeline	administrative_mention	CBS News / Axios	2026-04-02	0.95	President Trump removed Pam Bondi as U.S. Attorney General on April 2, 2026, and Deputy Attorney General Todd Blanche became acting attorney general.	https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out, https://www.cbsnews.com/news/trump-pam-bondi-attorney-general/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-brazil-mpf-epstein-inquiry-20260210	alleged	procedural	media_reference	Correio Braziliense / Gazeta do Povo	2026-02-10	0.85	Brazil's Federal Public Prosecutor's Office opened a confidential procedure on February 10, 2026 to examine whether Brazilian women were recruited for Jeffrey Epstein; no public result had been reported as of September 24, 2026.	https://www.correiobraziliense.com.br/mundo/2026/02/7353387-mpf-abre-investigacao-sobre-rede-de-aliciamento-de-mulheres-para-epstein-no-brasil-apos-reportagem-da-bbc-participacao-das-vitimas-e-fundamental.html, https://www.gazetadopovo.com.br/republica/mpf-investiga-possivel-atuacao-de-jeffrey-epstein-no-brasil/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-christiansen-v-indyke-20260819	alleged	procedural	media_reference	Bloomberg Law	2026-08-19	0.86	Six women sued Epstein's estate and co-executors Darren Indyke and Richard Kahn in New York state court on August 19, 2026 under New York City's Gender-Motivated Violence Act.	https://news.bloomberglaw.com/litigation/epstein-victims-sue-estate-executors-in-ny-over-sexual-assaults	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-coe-rapporteur-jagland-2026	alleged	procedural	media_reference	Sweden Herald	2026-05-21	0.8	By May 2026 Swedish MP Gustaf Göthberg had been appointed a Parliamentary Assembly of the Council of Europe rapporteur to examine Epstein's network and its links to former Secretary General Thorbjorn Jagland.	https://swedenherald.com/article/swedishled-epstein-investigation-probes-jagland	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-doj-appeal-stay-motion-20260922	alleged	procedural	media_reference	Axios / MS NOW / Raw Story	2026-09-22	0.84	DOJ filed a notice of appeal of Judge Sullivan's September 16, 2026 order on September 17 and on September 22 asked the D.C. Circuit (No. 26-5299) to stay the foreign-language-records portions of the June 25 and September 16 orders and to expedite the appeal.	https://www.axios.com/2026/09/17/epstein-files-doj-contempt-judge-blanche, https://www.rawstory.com/todd-blanche-epstein-files-2677919559/	No tier-1 evidence_type link (primary/transcript/filing/release).
