run_utc	claim_id	redaction_category	category_definition	claim_status	name_context_class	claim_text
20260924T162139Z	claim-bondi-hearing-date	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Pam Bondi testified before the House Judiciary Committee on February 11, 2026.
20260924T162139Z	claim-hr4405-enacted	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The Epstein Files Transparency Act (H.R. 4405) was enacted on November 19, 2025.
20260924T162139Z	claim-doj-35m-pages	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	DOJ announced publication of 3.5 million responsive pages related to Epstein files on January 30, 2026.
20260924T162139Z	claim-wasserman-agency-sale	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported Casey Wasserman planned to sell his talent agency after publication of emails involving Ghislaine Maxwell.
20260924T162139Z	claim-doj-redactions-letter-reuters	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	Reuters reported DOJ sent lawmakers a Feb. 15, 2026 letter describing redaction rationale and stating four newly discussed individuals were not directly tied to wrongdoing in reviewed records.
20260924T162139Z	claim-epstein-nobel-outreach-ap	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported file excerpts described Epstein referencing Nobel committee leadership in outreach messages to high-profile contacts.
20260924T162139Z	claim-lifetouch-school-cancellations	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported some U.S. school districts paused or canceled Lifetouch sessions after viral posts made Epstein-related allegations.
20260924T162139Z	claim-lutnick-meetings-acknowledged-ap	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported Howard Lutnick acknowledged pre-government meetings with Epstein and that prior denials were inaccurate.
20260924T162139Z	claim-doj-letter-300plus-no-context	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	Reuters and CNN reported DOJ sent lawmakers a summary covering over 300 officials and politically exposed persons in Epstein-related records, while stating inclusion in that summary does not itself establish wrongdoing.
20260924T162139Z	claim-oversight-bondi-subpoena-20260317	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee issued a subpoena to Attorney General Pam Bondi on March 17, 2026 for an April 14, 2026 deposition in its Epstein investigation.
20260924T162139Z	claim-bondi-removed-ag-20260402	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	President Trump removed Pam Bondi as U.S. Attorney General on April 2, 2026, and Deputy Attorney General Todd Blanche became acting attorney general.
20260924T162139Z	claim-bondi-transcribed-interview-20260529	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Former Attorney General Pam Bondi sat for a closed-door transcribed interview with the House Oversight Committee on May 29, 2026 instead of a subpoenaed deposition.
20260924T162139Z	claim-blanche-confirmed-ag-20260808	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.
20260924T162139Z	claim-phang-v-blanche-injunction-20260625	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	On June 25, 2026, Judge Emmet Sullivan granted a preliminary injunction in Phang v. Blanche ordering DOJ to unredact disputed Epstein records or justify each redaction.
20260924T162139Z	claim-sullivan-sept24-deadline-20260916	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	On September 16, 2026, Judge Sullivan set a September 24 deadline for DOJ to produce disputed Epstein records or explain why his orders were not clear, and said a contempt finding would be premature at that juncture.
20260924T162139Z	claim-preska-efta-overrides-sealing-20260811	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	On August 11, 2026, Judge Loretta Preska ruled the Epstein Files Transparency Act overrides earlier sealing orders, grand-jury secrecy, and Ghislaine Maxwell's privacy claims, clearing additional records for release.
20260924T162139Z	claim-doj-oig-efta-audit-20260423	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.
20260924T162139Z	claim-gao-redaction-review-20260428	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	The Government Accountability Office agreed in late April 2026 to review DOJ's handling of redactions in the Epstein files.
20260924T162139Z	claim-hr9694-efta2-introduced-20260715	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	H.R. 9694, the Epstein Files Transparency Act II, was introduced in the House in July 2026 by Reps. Massie, Khanna, and Leger Fernandez.
20260924T162139Z	claim-efta2-discharge-218-20260918	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.
20260924T162139Z	claim-hr10389-svpa-introduced-20260916	victim_privacy	Redactions intended to protect survivor/victim identity.	verified_primary	administrative_mention	House Oversight Chairman James Comer introduced the Survivor's Voice Protection Act (H.R. 10389) on September 16, 2026.
20260924T162139Z	claim-hr10397-srra-introduced-20260915	victim_privacy	Redactions intended to protect survivor/victim identity.	verified_primary	administrative_mention	The Survivors' Rights Restitution Act (H.R. 10397) was introduced in the House on September 15, 2026.
20260924T162139Z	claim-sres608-maxwell-clemency-20260729	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The Senate adopted S.Res.608 by unanimous consent on July 29, 2026, expressing that Ghislaine Maxwell should not receive a pardon or clemency.
20260924T162139Z	claim-oversight-gates-groff-transcripts-20260623	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee released transcripts of its June 2026 interviews with Lesley Groff and Bill Gates.
20260924T162139Z	claim-oversight-black-band-transcripts-2026	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee released transcripts of Leon Black's June 26, 2026 and Doug Band's June 30, 2026 transcribed interviews.
20260924T162139Z	claim-oversight-staley-transcript-20260826	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee released a redacted transcript of Jes Staley's July 24, 2026 transcribed interview in late August 2026.
20260924T162139Z	claim-oversight-doj-referral-request-20260604	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	unverified_allegation	House Oversight Chairman James Comer and Republican members asked DOJ on June 4, 2026 to investigate allegations Sarah Kellen made in her transcribed interview against two men, both of whom deny the allegations.
20260924T162139Z	claim-house-black-contempt-20260916	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The House voted on September 16, 2026 to hold Leon Black in contempt of Congress for defying House Oversight subpoenas in its Epstein investigation.
20260924T162139Z	claim-wsj-executors-sdny-probe-20260923	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Wall Street Journal reported on September 23, 2026 that federal prosecutors in Manhattan are investigating Epstein estate executors Darren Indyke and Richard Kahn; both deny wrongdoing and no charges have been filed.
20260924T162139Z	claim-maxwell-postconviction-denied-20260825	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	Judge Paul Engelmayer denied Ghislaine Maxwell's pro se petition to vacate her conviction in an order made public on August 25, 2026.
20260924T162139Z	claim-purported-note-unsealed-20260506	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	A federal judge unsealed on May 6, 2026 a purported note that Nicholas Tartaglione says he found in July 2019; the court did not assess its authenticity.
20260924T162139Z	claim-nm-sues-doj-records-202608	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	New Mexico's Department of Justice sued the U.S. Department of Justice in August 2026 seeking unredacted Epstein investigative files for its Zorro Ranch criminal probe.
20260924T162139Z	claim-nm-truth-commission-interim-20260805	victim_privacy	Redactions intended to protect survivor/victim identity.	verified_primary	administrative_mention	New Mexico's Survivors' Truth Commission released a 119-page interim report on August 5, 2026 that assembles evidence on Zorro Ranch but makes no final findings of wrongdoing.
