change_type	claim_id	previous_status	new_status	previous_confidence	new_confidence	claim_text
added	claim-bard-botstein-retirement-20260501		verified_primary		0.93	Bard College president Leon Botstein announced on May 1, 2026 that he would retire effective June 30, 2026, after a WilmerHale review commissioned by Bard's trustees examined his relationship with Epstein; the review found nothing illegal but said his decisions reflect on his leadership.
added	claim-columbia-axel-steps-down-20260224		verified_primary		0.92	Columbia University announced on February 24, 2026 that Nobel laureate Richard Axel would step down as co-director of the Zuckerman Mind Brain Behavior Institute; Columbia said he had not broken university policy or law.
added	claim-columbia-dental-officials-20260211		verified_primary		0.93	Columbia University said on February 11, 2026 that a College of Dental Medicine student linked to Epstein was admitted in 2012 through an irregular process coinciding with fundraising solicitations, and that it removed Thomas Magnani from admissions and volunteer roles while Letty Moss-Salentijn stepped down from administrative roles.
added	claim-doj-appeal-stay-motion-20260922		alleged		0.84	DOJ filed a notice of appeal of Judge Sullivan's September 16, 2026 order on September 17 and on September 22 asked the D.C. Circuit (No. 26-5299) to stay the foreign-language-records portions of the June 25 and September 16 orders and to expedite the appeal.
added	claim-doj-declined-more-files-20260702		alleged		0.88	At the July 2, 2026 injunction deadline in Phang v. Blanche, DOJ declined to produce additional unredacted records, defended its redactions, and asked the court for 60 more days or to accept its reasons.
added	claim-fbi-negligence-suit-rr-20260818		alleged		0.86	On August 18, 2026 Magistrate Judge Ryon McCabe recommended that survivors' Federal Tort Claims Act negligence suit against the FBI, seeking about $320 million, proceed to 90 days of limited discovery.
added	claim-jagland-charged-20260212		alleged		0.9	The Council of Europe waived Thorbjorn Jagland's immunity on February 11, 2026, and Okokrim charged him with aggravated corruption on February 12, 2026; he denies the charges.
added	claim-juul-rodlarsen-charged-20260209		alleged		0.88	Norway's Okokrim charged diplomat Mona Juul with aggravated corruption and her husband Terje Rod-Larsen with complicity in aggravated corruption on February 9, 2026.
added	claim-juul-steps-down-ambassador-20260208		verified_primary		0.92	Norway's government announced that Mona Juul stepped down as ambassador on February 8, 2026 amid scrutiny of her contacts with Epstein.
added	claim-kamen-resigns-first-board-20260312		alleged		0.88	Dean Kamen resigned from the FIRST board of directors on March 12, 2026; FIRST's board chair said its independent review found no evidence of misconduct.
added	claim-nm-truth-commission-final-due-20261231		alleged		0.84	New Mexico's Survivors' Truth Commission said its interim report found evidence supporting reports of sexual abuse of at least five women and girls at Zorro Ranch between 1996 and 2012, and that its final report is due December 31, 2026.
added	claim-norway-france-jit-20260427		alleged		0.86	Norwegian and French investigators formed a joint investigation team in late April 2026 covering the case against Mona Juul and Terje Rod-Larsen.
added	claim-osu-landon-final-report-20260623		alleged		0.84	Ohio State University's final report released June 23, 2026 found that Dr. Mark Landon was not aware of or involved in Epstein's crimes but likely violated university policy by not reporting or getting approval for outside consulting work.
added	claim-oversight-dershowitz-sep2-request-20260721		verified_primary		0.93	House Oversight Chairman James Comer wrote to Alan Dershowitz on July 21, 2026 requesting a videotaped transcribed interview on September 2, 2026 after Dershowitz did not appear for a July 20 interview, and warned the committee could use compulsory process.
added	claim-raskin-university-inquiry-20260617		verified_primary		0.92	House Judiciary Committee Democrats led by Ranking Member Jamie Raskin sent letters on June 17, 2026 to Harvard and Bard requesting Epstein-related records, extending a January inquiry to Columbia and NYU.
added	claim-sullivan-jane-doe4-notes-20260916		alleged		0.87	On September 16, 2026 Judge Emmet Sullivan ordered DOJ to give the court, for private review, redacted and unredacted handwritten notes from four 2019 FBI interviews of a woman identified as Jane Doe 4 by 11 a.m. on September 24, and declined to stay the order pending appeal.
added	claim-survivors-sue-doj-google-20260326		alleged		0.88	Epstein survivors filed a proposed class action in the Northern District of California on March 26, 2026 against DOJ and Google, alleging the file releases exposed about 100 survivors' personal information and that Google kept republishing it.
added	claim-yale-gelernter-review-2026		alleged		0.85	Yale University barred computer science professor David Gelernter from teaching in February 2026 pending a conduct review of his emails with Epstein; in September 2026 Yale said the review was continuing and he would not teach in the fall.
