change_type	claim_id	previous_status	new_status	previous_confidence	new_confidence	claim_text
added	claim-apollo-suits-consolidated-2026		verified_primary		0.92	Two shareholder class actions against Apollo Global Management, Marc Rowan, and Leon Black over statements about Epstein (filed March 2 and April 29, 2026) were consolidated in the Southern District of New York, with lead-plaintiff motions pending.
added	claim-bin-sulayem-mmc-202607		alleged		0.84	Former DP World chief Sultan Ahmed bin Sulayem became executive chairman of Malaysia's MMC Port Holdings in July 2026, prompting 31 civil-society groups to urge that the appointment be revoked.
added	claim-bloomberg-flight-bookings-20260724		alleged		0.83	A Bloomberg analysis published July 24, 2026 found Epstein's staff booked more than 3,700 commercial flights between 2009 and 2019, with no identifiable passenger in more than 1,700 records.
added	claim-bop-maxwell-letters-2026		verified_primary		0.9	Reps. Ross, Raskin, and Khanna wrote to the Bureau of Prisons on March 2, 2026 about who authorized Ghislaine Maxwell's transfer to a minimum-security camp and on June 12, 2026 about a new policy letting the attorney general designate a prisoner's placement.
added	claim-christiansen-v-indyke-20260819		alleged		0.86	Six women sued Epstein's estate and co-executors Darren Indyke and Richard Kahn in New York state court on August 19, 2026 under New York City's Gender-Motivated Violence Act.
added	claim-clayton-dni-sworn-20260803		verified_primary		0.93	Jay Clayton, who as U.S. Attorney for the Southern District of New York was assigned in November 2025 to lead the Trump-requested Epstein investigation, was sworn in as Director of National Intelligence on August 3, 2026.
added	claim-coe-rapporteur-jagland-2026		alleged		0.8	By May 2026 Swedish MP Gustaf Göthberg had been appointed a Parliamentary Assembly of the Council of Europe rapporteur to examine Epstein's network and its links to former Secretary General Thorbjorn Jagland.
added	claim-estate-image-collection-suit-2026		alleged		0.86	Two women filed a proposed class action against Epstein's estate in the Southern District of New York in mid-September 2026 on behalf of people pictured in his seized collection of child sexual abuse material, seeking at least $6 million and a notification program.
added	claim-fekkai-suit-20260901		alleged		0.86	Seven women sued hairstylist Frederic Fekkai in New York state court on September 1, 2026 over his salon's alleged role in grooming young women for Epstein; Fekkai denies the allegations.
added	claim-firstbank-suit-20260624		verified_primary		0.9	A proposed class action filed June 24, 2026 in the Southern District of New York alleges FirstBank Puerto Rico maintained accounts for Epstein and related entities from 1998 to 2020; First BanCorp said it categorically denies the claims.
added	claim-joi-ito-digital-garage-202602		alleged		0.84	Digital Garage announced in late February 2026 that Joi Ito would retire as senior managing executive officer on March 31 and leave its board at the June shareholders' meeting, citing a scheduled term expiration.
added	claim-king-charles-declined-survivors-202604		alleged		0.85	King Charles III's lawyers declined Rep. Ro Khanna's request that the king meet Epstein survivors during his April 2026 U.S. state visit, citing an ongoing investigation.
